row,col,day,population_id,piperacillin (ug/ml),measurement_type,measurement_value
1,5,1,1|5,2,CFP,15.76
1,6,1,1|6,2,CFP,18.33
1,7,1,1|7,2,CFP,22.48
1,8,1,1|8,2,CFP,25.47
1,9,1,1|9,2,CFP,32.94
1,10,1,1|10,2,CFP,40.81
1,11,1,1|11,2,CFP,54.06
2,0,1,2|0,5,CFP,9.43
2,1,1,2|1,5,CFP,41.29
2,2,1,2|2,5,CFP,11.7
2,3,1,2|3,5,CFP,11.99
2,4,1,2|4,5,CFP,12.71
2,5,1,2|5,5,CFP,16.13
2,6,1,2|6,5,CFP,18.76
2,7,1,2|7,5,CFP,22.05
2,8,1,2|8,5,CFP,25.08
2,9,1,2|9,5,CFP,33.06
2,10,1,2|10,5,CFP,42.25
2,11,1,2|11,5,CFP,61.88
3,0,1,3|0,20,CFP,9.133
3,1,1,3|1,20,CFP,45.62
3,2,1,3|2,20,CFP,43.93
3,3,1,3|3,20,CFP,14.64
3,4,1,3|4,20,CFP,13.77
3,5,1,3|5,20,CFP,14.51
3,6,1,3|6,20,CFP,18.19
3,7,1,3|7,20,CFP,21.71
3,8,1,3|8,20,CFP,27.35
3,9,1,3|9,20,CFP,34.24
3,10,1,3|10,20,CFP,41.02
3,11,1,3|11,20,CFP,55.87
4,0,1,4|0,50,CFP,8.926
4,1,1,4|1,50,CFP,47.42
4,2,1,4|2,50,CFP,42.31
4,3,1,4|3,50,CFP,42.15
4,4,1,4|4,50,CFP,18.35
4,5,1,4|5,50,CFP,15.09
4,6,1,4|6,50,CFP,18.25
4,7,1,4|7,50,CFP,22.58
4,8,1,4|8,50,CFP,26.35
4,9,1,4|9,50,CFP,34.14
4,10,1,4|10,50,CFP,41.29
4,11,1,4|11,50,CFP,55.0
5,0,1,5|0,100,CFP,10.46
5,1,1,5|1,100,CFP,43.05
5,2,1,5|2,100,CFP,48.46
5,3,1,5|3,100,CFP,50.99
5,4,1,5|4,100,CFP,44.56
5,5,1,5|5,100,CFP,37.58
5,6,1,5|6,100,CFP,19.11
5,7,1,5|7,100,CFP,22.29
5,8,1,5|8,100,CFP,27.73
5,9,1,5|9,100,CFP,35.89
5,10,1,5|10,100,CFP,44.48
5,11,1,5|11,100,CFP,55.72
6,0,1,6|0,200,CFP,10.04
6,1,1,6|1,200,CFP,29.62
6,2,1,6|2,200,CFP,30.93
6,3,1,6|3,200,CFP,34.73
6,4,1,6|4,200,CFP,41.63
6,5,1,6|5,200,CFP,51.2
6,6,1,6|6,200,CFP,44.13
6,7,1,6|7,200,CFP,32.56
6,8,1,6|8,200,CFP,24.89
6,9,1,6|9,200,CFP,32.48
6,10,1,6|10,200,CFP,44.21
6,11,1,6|11,200,CFP,57.26
7,0,1,7|0,1000,CFP,9.983
7,1,1,7|1,1000,CFP,10.99
7,2,1,7|2,1000,CFP,21.67
7,3,1,7|3,1000,CFP,25.82
7,4,1,7|4,1000,CFP,29.25
7,5,1,7|5,1000,CFP,32.09
7,6,1,7|6,1000,CFP,35.3
7,7,1,7|7,1000,CFP,42.37
7,8,1,7|8,1000,CFP,42.69
7,9,1,7|9,1000,CFP,40.87
7,10,1,7|10,1000,CFP,44.82
7,11,1,7|11,1000,CFP,53.04
0,0,1,0|0,0,OD,0.857763718987
0,1,1,0|1,0,OD,1.06192947735
0,2,1,0|2,0,OD,1.36008866335
0,3,1,0|3,0,OD,1.30214685286
