tazobactam,fraction #,ODf,ff,fi,replicate,dilution,ampicillin
582.6,8,1.67212032764,0.946763175197,0.546140482954,1,100.0,2.0
582.6,9,2.08871252147,0.884730216515,0.637818786092,1,100.0,2.0
582.6,10,2.00182180091,0.948552243227,0.810194325602,1,100.0,2.0
582.6,11,2.02461149332,0.99143227822,0.993714476928,1,100.0,2.0
0.0,0,1.45147557253,,0.000417685596839,2,100.0,2.0
0.0,1,1.62964974536,0.0364058407173,0.0631195320643,2,100.0,2.0
0.0,2,2.05057692154,0.079079674392,0.123847229628,2,100.0,2.0
0.0,3,1.75002018061,0.114982956498,0.17798889428,2,100.0,2.0
0.0,4,1.61569879132,0.179593057111,0.257630162739,2,100.0,2.0
0.0,5,1.5880968822,0.262099891607,0.368858147062,2,100.0,2.0
0.0,6,1.54072677841,0.31133101837,0.43835423839,2,100.0,2.0
0.0,7,1.75250613531,0.367544808576,0.50053000376,2,100.0,2.0
0.0,8,1.65549235574,0.513294786218,0.633220373653,2,100.0,2.0
0.0,9,1.45147557253,0.632676041569,0.739417509856,2,100.0,2.0
0.0,10,1.43032118762,0.793771844587,0.878008662941,2,100.0,2.0
0.0,11,1.65312862453,0.990117535167,0.992765554962,2,100.0,2.0
24.1,0,1.08816375036,,0.000417685596839,2,100.0,2.0
24.1,1,1.81058842503,0.133430716582,0.0631195320643,2,100.0,2.0
24.1,2,1.68648821057,0.0892687815798,0.123847229628,2,100.0,2.0
24.1,3,1.63666335953,0.115567318217,0.17798889428,2,100.0,2.0
24.1,4,1.72779002643,0.188821180376,0.257630162739,2,100.0,2.0
24.1,5,1.46214067388,0.25883780755,0.368858147062,2,100.0,2.0
24.1,6,1.57444308372,0.30857887169,0.43835423839,2,100.0,2.0
24.1,7,1.41983062407,0.396285055499,0.50053000376,2,100.0,2.0
24.1,8,1.34795662699,0.517182193307,0.633220373653,2,100.0,2.0
24.1,9,1.54295623423,0.643885652319,0.739417509856,2,100.0,2.0
24.1,10,1.36211813141,0.805442342214,0.878008662941,2,100.0,2.0
24.1,11,1.69854399582,0.988514358457,0.992765554962,2,100.0,2.0
41.0,0,1.10407783488,,0.000417685596839,2,100.0,2.0
41.0,1,1.29233097698,0.433496887988,0.0631195320643,2,100.0,2.0
41.0,2,1.35199214098,0.202484356557,0.123847229628,2,100.0,2.0
41.0,3,1.32790511392,0.16482150784,0.17798889428,2,100.0,2.0
41.0,4,1.2249879153,0.197214966093,0.257630162739,2,100.0,2.0
41.0,5,1.45360386629,0.247320321406,0.368858147062,2,100.0,2.0
41.0,6,1.45573451806,0.318277143732,0.43835423839,2,100.0,2.0
41.0,7,1.4600029166,0.396474477118,0.50053000376,2,100.0,2.0
41.0,8,1.53849990425,0.518209071225,0.633220373653,2,100.0,2.0
41.0,9,1.39488432381,0.649719431778,0.739417509856,2,100.0,2.0
41.0,10,1.44510478735,0.795199642368,0.878008662941,2,100.0,2.0
41.0,11,1.62731754675,0.991995138892,0.992765554962,2,100.0,2.0
69.8,0,0.849968990017,,0.000417685596839,2,100.0,2.0
69.8,1,1.45147557253,0.666544927826,0.0631195320643,2,100.0,2.0
69.8,2,1.52298357234,0.47022487288,0.123847229628,2,100.0,2.0
69.8,3,1.24972660089,,0.17798889428,2,100.0,2.0
69.8,4,1.30017966537,0.275035029777,0.257630162739,2,100.0,2.0
69.8,5,1.52298357234,0.283427248805,0.368858147062,2,100.0,2.0
69.8,6,1.43242618509,,0.43835423839,2,100.0,2.0
69.8,7,1.40523931714,0.406409078608,0.50053000376,2,100.0,2.0
69.8,8,1.48581419627,0.504429868363,0.633220373653,2,100.0,2.0
69.8,9,1.36821941779,0.662478290051,0.739417509856,2,100.0,2.0
69.8,10,1.59496030747,0.801886746506,0.878008662941,2,100.0,2.0
69.8,11,1.80802629296,0.98943155205,0.992765554962,2,100.0,2.0
118.6,0,0.900410063389,,0.000417685596839,2,100.0,2.0
118.6,1,1.59266977626,0.879677874829,0.0631195320643,2,100.0,2.0
118.6,2,1.41147918285,0.720769892907,0.123847229628,2,100.0,2.0
118.6,3,1.49667198842,0.524551003235,0.17798889428,2,100.0,2.0
118.6,4,1.35806133477,0.457953398734,0.257630162739,2,100.0,2.0
118.6,5,1.20804567252,0.378655350821,0.368858147062,2,100.0,2.0
118.6,6,1.31994268516,0.369200515249,0.43835423839,2,100.0,2.0
118.6,7,1.36008866335,0.419157987295,0.50053000376,2,100.0,2.0
118.6,8,1.34191918995,0.541957694528,0.633220373653,2,100.0,2.0
118.6,9,1.38048037154,0.649050817916,0.739417509856,2,100.0,2.0
118.6,10,1.51417298424,0.807247812912,0.878008662941,2,100.0,2.0
118.6,11,1.75002018061,0.993227080784,0.992765554962,2,100.0,2.0
201.6,0,1.1308975079,,0.000417685596839,2,100.0,2.0
201.6,1,1.09698864494,0.943844646787,0.0631195320643,2,100.0,2.0
201.6,2,1.08992549249,0.710716609427,0.123847229628,2,100.0,2.0
201.6,3,1.41565036993,,0.17798889428,2,100.0,2.0
201.6,4,1.24017402307,0.82595004528,0.257630162739,2,100.0,2.0
201.6,5,1.63666335953,0.71094735952,0.368858147062,2,100.0,2.0
201.6,6,1.43664310506,0.656654859894,0.43835423839,2,100.0,2.0
201.6,7,1.42401998475,0.613828675997,0.50053000376,2,100.0,2.0
201.6,8,1.38048037154,0.652197815131,0.633220373653,2,100.0,2.0
201.6,9,1.49014995947,0.695985036151,0.739417509856,2,100.0,2.0
201.6,10,1.86783661578,0.696365479749,0.878008662941,2,100.0,2.0
201.6,11,1.81572295262,0.994172790143,0.992765554962,2,100.0,2.0
342.7,0,0.945658094788,,0.000417685596839,2,100.0,2.0
342.7,1,1.1690847466,0.968212028611,0.0631195320643,2,100.0,2.0
342.7,2,1.21555713704,0.948490602832,0.123847229628,2,100.0,2.0
342.7,3,1.27091080771,0.933300933858,0.17798889428,2,100.0,2.0
342.7,4,1.47932882543,0.939216494773,0.257630162739,2,100.0,2.0
342.7,5,1.60645406611,0.849832371617,0.368858147062,2,100.0,2.0
342.7,6,1.62266161748,0.903080701454,0.43835423839,2,100.0,2.0
342.7,7,1.67689770446,0.893662361564,0.50053000376,2,100.0,2.0
342.7,8,1.59038196999,0.873551160079,0.633220373653,2,100.0,2.0
342.7,9,1.6840860964,0.887054983937,0.739417509856,2,100.0,2.0
342.7,10,2.05639493854,0.90804812015,0.878008662941,2,100.0,2.0
342.7,11,1.72779002643,0.98913583168,0.992765554962,2,100.0,2.0
582.6,0,1.05672529695,,0.000417685596839,2,100.0,2.0
582.6,1,1.06540677157,,0.0631195320643,2,100.0,2.0
582.6,2,1.56765236636,,0.123847229628,2,100.0,2.0
582.6,3,1.33389864576,0.943252649266,0.17798889428,2,100.0,2.0
582.6,4,1.30017966537,0.960414645276,0.257630162739,2,100.0,2.0
582.6,5,1.75002018061,0.958295084198,0.368858147062,2,100.0,2.0
582.6,6,1.64370264657,0.965436151075,0.43835423839,2,100.0,2.0
582.6,7,1.66497644173,0.966136044571,0.50053000376,2,100.0,2.0
582.6,8,1.76999838446,0.964649250565,0.633220373653,2,100.0,2.0
582.6,9,1.81829536644,0.959591211272,0.739417509856,2,100.0,2.0
582.6,10,1.76498434231,0.969531116637,0.878008662941,2,100.0,2.0
582.6,11,1.48581419627,0.992279628076,0.992765554962,2,100.0,2.0
0.0,0,0.0455348602973,,-0.000121274661233,0,100.0,5.0
0.0,1,1.5789835871,0.0374247162769,0.0580629825486,0,100.0,5.0
0.0,2,1.44298587371,0.0673384911066,0.115312456098,0,100.0,5.0
0.0,3,1.40523931714,0.11189503443,0.198413361225,0,100.0,5.0
0.0,4,1.41773936116,0.162888104493,0.264396162462,0,100.0,5.0
0.0,5,1.46856824125,0.218699248797,0.3370479041,0,100.0,5.0
0.0,6,1.33991091568,0.248768679154,0.418670161771,0,100.0,5.0
0.0,7,1.37229772275,0.372145037643,0.498534234666,0,100.0,5.0
0.0,8,1.51637184987,0.45814379245,0.612826031436,0,100.0,5.0
0.0,9,1.46856824125,0.58812134356,0.726062333201,0,100.0,5.0
